dealerCode,dealerName,dealerAddress,dealerCity,dealerState,dealerZip,dealerRadius,latitude,longitude,Rating,LifeTimeReviews,Recommended
17071,SUPREME TOYOTA OF HAMMOND,1415 South Morrison Blvd.,HAMMOND,LA,70403,50,30.486148,-90.482697,4.4,27,NULL
42308,RED RIVER TOYOTA,1920 U.S. Highway 75 North,DENISON,TX,75020,19,33.774531,-96.58405,3,6,NULL
42309,TOYOTA OF MIDLAND,3915 West Wall,MIDLAND,TX,79703,38,31.976549,-102.11523,3.6,20,NULL
42310,REAGOR-DYKES TOYOTA,808 N IH 27,PLAINVIEW,TX,79072,75,34.188674,-101.749445,5,1,NULL
17072,TOYOTA OF BASTROP,2329 East Madison Avenue,BASTROP,LA,71220,20,32.775527,-91.881665,0,0,NULL
17073,HIXSON TOYOTA,11981 Lake Charles Highway,LEESVILLE,LA,71446,19,31.087558,-93.270953,3.3,52,NULL
23029,NABORS TOYOTA,621 DeSoto Avenue,CLARKSDALE,MS,38614,18,34.197241,-90.565408,0,0,NULL
23035,TOYOTA OF HATTIESBURG,1620 West Pine,HATTIESBURG,MS,39401,50,31.310009,-89.30946,3,29,NULL
23037,HERRIN-GEAR TOYOTA,6100 I-55 North,JACKSON,MS,39211,20,32.393413,-90.145227,4.7,50,NULL
23050,ESTABROOK TOYOTA,2203 Market Street,PASCAGOULA,MS,39567,18,30.358047,-88.548563,0,0,NULL
23052,ALLEN TOYOTA,11397 Helen Richards Dr.,GULFPORT,MS,39503,21,30.447255,-89.029242,4.2,195,NULL
23054,OXFORD TOYOTA,447 Highway 6 West,OXFORD,MS,38655,20,34.36037,-89.58487,3.9,4,NULL
23055,JOHN O'NEIL JOHNSON TOYOTA,2900 Highway 39 North,MERIDIAN,MS,39302,20,32.388077,-88.684638,1,5,NULL
23057,KIRK FORD-LINCOLN-MERCURY-TOYOTA,237 SW Frontage Rd.,GRENADA,MS,38901,19,33.757393,-89.860773,5,239,NULL
23061,CARL HOGAN TOYOTA,"(Overnight) 3907 Highway 45 North, 39701(US Mail) P. O Box 7460 - z-39705-0002",COLUMBUS,MS,39701,19,33.4838,-88.4463,1,3,NULL
23062,KIM'S TOYOTA,1030 Highway 15 North,LAUREL,MS,39440,17,31.701404,-89.147524,4.9,721,NULL
23063,GRAY DANIELS TOYOTA,104 Gray Daniels Blvd,BRANDON,MS,39042,19,32.281156,-90.033768,4.6,119,NULL
23068,TRACE CITY TOYOTA,(Overnight) 203 Devereaux Drive(US Mail) P. O. Box 1264 Z- 39121,NATCHEZ,MS,39120,20,31.5521,-91.3548,0,4,NULL
23069,CARLOCK TOYOTA OF TUPELO,882 Cross Creek Drive,SALTILLO,MS,38866,50,34.319181,-88.699122,2.3,15,NULL
23071,OAKES TOYOTA,1753 Highway 1 South,GREENVILLE,MS,38701,18,33.371313,-91.039948,0,0,NULL
23072,LEGACY TOYOTA,890 Brookway Blvd.,BROOKHAVEN,MS,39601,20,31.579328,-90.460779,4.9,534,NULL
